isbn,title,authors,publisher,language,published_year,total_pages,cover_url,synopsis,genre_id
9786020667188,Atomic Habits,James Clear,Penguin Random House,English,2018,322,https://covers.openlibrary.org/b/id/12539702-M.jpg,"No matter your goals, Atomic Habits offers a proven framework for improving every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.",11
9786026486578,The Psychology of Money,Morgan Housel,HarperCollins,English,2020,289,https://covers.openlibrary.org/b/id/10389354-M.jpg,"Timeless lessons on wealth, greed, and happiness doing well with money isn't necessarily about what you know. It's about how you behave. And behavior is hard to teach, even to really smart people. How to manage money, invest it, and make business decisions are typically considered to involve a lot of mathematical calculations, where data and formulae tell us exactly what to do. But in the real world, people don't make financial decisions on a spreadsheet.",12
9780759581371,"Rich Dad, Poor Dad",Robert T. Kiyosaki|Sharon L. Lechter,Penguin Random House Grupo Editorial (USA) LLC,English,1997,241,https://covers.openlibrary.org/b/id/8315603-M.jpg,"April of 2022 marks a 25-year milestone for the personal finance classic Rich Dad Poor Dad that still ranks as the #1 Personal Finance book of all time. While so much in our world is changing at high speed, the lessons about money and the principles of Rich Dad Poor Dad haven't changed. Today, as money continues to play a key role in our daily lives, the book's timeless wisdom about building wealth and financial independence remains as relevant as ever.",12
9780374275631,"Thinking, Fast and Slow",Daniel Kahneman,Penguin Group,English,2011,528,https://covers.openlibrary.org/b/id/13290711-M.jpg,"In his mega bestseller, Thinking, Fast and Slow, Daniel Kahneman, world-famous psychologist and winner of the Nobel Prize in Economics, takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. The impact of overconfidence on corporate strategies and the profound effect of cognitive biases on everything from playing the stock market to planning a vacation are explored in depth.",11
9782226479822,Sapiens,Yuval Noah Harari,HarperCollins Publishers,English,2011,456,https://covers.openlibrary.org/b/id/8634250-M.jpg,"From a renowned historian comes a groundbreaking narrative of humanity's creation and evolution—a #1 international bestseller—that explores the ways in which biology and history have defined us and enhanced our understanding of what it means to be human. One hundred thousand years ago, at least six different species of humans inhabited Earth. Yet today there is only one—homo sapiens. What happened to the others? And what may happen to us? Most books about the history of humanity pursue either a biological or a social angle, but Harari combines both.",14
9788845298752,Homo Deus,Yuval Noah Harari,Edicions 62,English,2017,548,https://covers.openlibrary.org/b/id/14421556-M.jpg,"Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century—from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus.",13
9781602529274,The Power of Now,Eckhart Tolle,Namaste Publishing,English,1997,224,https://covers.openlibrary.org/b/id/551262-M.jpg,"Eckhart Tolle has emerged as one of today's most inspiring teachers. In The Power of Now, already a worldwide bestseller, the author describes his transition from despair to self-realization soon after his 29th birthday. Tolle shows readers how to recognize themselves as the creators of their own pain and how to have a pain-free identity by living fully in the present. The role of thoughts, emotions, and unobserved mental-noise are explained with great insight.",15
9781416502494,The 7 Habits of Highly Effective People,Stephen R. Covey|Sean Covey,Simon & Schuster (Trade Division),English,1989,374,https://covers.openlibrary.org/b/id/10079937-M.jpg,"New York Times bestseller—over 40 million copies sold. One of the most inspiring and impactful books ever written, The 7 Habits of Highly Effective People has captivated readers for nearly three decades. It has transformed the lives of presidents and CEOs, educators and parents—millions of people of all ages and occupations. Now, this 30th anniversary edition commemorates the wisdom of the 7 Habits with modern additions from Sean Covey.",11
9781780333939,Mindset,Carol S. Dweck,Random House,English,2006,288,https://covers.openlibrary.org/b/id/746414-M.jpg,"Mindset is one of those rare books that can help you make positive changes in your life and at the same time see the world in a new way. A leading expert in motivation and personality psychology, Carol Dweck has discovered in more than twenty years of research that our mindset is not a minor personality quirk: it creates our whole mental world. It explains how we become optimistic or pessimistic. It shapes our goals, our attitude toward work and relationships, and how we raise our kids.",11
9783864149351,Deep Work,Cal Newport,Grand Central Publishing,English,2016,303,https://covers.openlibrary.org/b/id/7988607-M.jpg,"One of the most valuable skills in our economy is becoming increasingly rare. If you master this skill, you'll achieve extraordinary results. Deep work is the ability to focus without distraction on a cognitively demanding task. It's a skill that allows you to quickly master complicated information and produce better results in less time. Deep work will make you better at what you do and provide the sense of true fulfillment that comes from craftsmanship.",11
